player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Mataio Soli,98306,ED,ARKANSAS,8,2,0,,0,0,111,,63.0,82.3,60.9,62.6,20.6,2,7,0,,50.0,3,0,0,0.0,0,0,0,0,0,213,213,0,3,104,106,0,0,129,84,0,1,1,0,9,0,0,0,
Steven Parker,98308,ED,KANSAS,9,7,0,100.0,2,0,198,53.1,49.1,0.0,59.3,50.8,68.9,2,4,0,18,7.1,2,0,4,133.8,9,0,14,1,67,305,245,0,0,245,0,0,60,72,166,45,9,19,9,6,1,65,48,7.2
Shamar McCollum,98309,ED,WAKE,6,2,0,100.0,0,0,339,57.9,49.0,31.8,54.6,49.4,39.6,1,2,0,15,25.0,2,0,1,110.4,2,0,2,0,18,141,139,7,9,115,8,0,2,69,54,0,1,4,2,3,0,21,4,10.5
Nathan Pickering,98311,DI,MISS STATE,5,6,0,,0,0,227,60.0,66.8,80.7,71.6,59.3,61.7,2,2,0,,15.4,2,0,0,0.0,0,3,1,0,0,134,133,51,82,0,0,0,1,75,59,0,6,5,0,7,0,0,0,
Colby Wooden,98312,ED,AUBURN,11,12,1,,0,1,115,75.6,68.6,87.3,69.0,61.3,58.0,3,17,0,,18.4,7,0,0,0.0,0,4,2,0,2,573,570,0,96,321,153,0,3,312,259,0,19,19,0,24,0,0,0,
Sylvain Yondjouen,98313,ED,GA TECH,3,3,0,,0,0,176,60.0,75.5,79.6,64.7,77.8,78.4,2,4,0,,0.0,0,0,0,0.0,0,0,1,0,0,93,92,0,1,60,31,0,1,46,47,0,3,3,0,6,0,0,0,
David Ugwoegbu,98314,LB,OKLAHOMA,11,5,1,78.6,0,0,261,67.1,68.1,79.7,80.0,61.6,67.7,7,3,1,15,16.2,6,0,0,63.7,11,2,320,3,218,375,18,0,0,18,0,0,357,31,126,34,15,26,14,12,0,90,68,8.2
Nate White,98316,ED,FIU,2,1,0,,0,0,166,60.0,73.1,0.0,79.5,67.3,76.5,1,6,0,,0.0,0,0,1,0.0,0,0,0,0,0,40,40,0,0,39,1,0,0,22,18,0,1,3,0,7,0,0,0,
Joshua Harris,98317,DI,NC STATE,4,0,0,,0,0,248,,55.0,76.3,57.9,54.9,72.4,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,27,27,26,1,0,0,0,0,6,21,0,1,2,0,1,0,0,0,
Alex Wright,98318,ED,UAB,8,5,2,,0,0,321,50.4,78.8,86.3,83.0,68.9,75.3,0,21,0,,16.0,4,0,0,0.0,0,1,1,0,3,295,294,0,22,213,59,0,1,170,122,0,13,16,0,22,0,0,0,
George Karlaftis,98319,ED,PURDUE,3,1,0,,0,0,273,,59.2,80.9,73.6,44.2,39.6,4,2,0,,33.3,1,0,0,0.0,0,2,0,0,0,148,148,0,12,70,66,0,0,70,78,0,3,1,0,8,0,0,0,
Will Smart,98321,DI,WAKE,4,1,0,,0,0,339,,68.8,76.8,64.4,67.6,74.6,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,0,52,52,3,47,1,1,0,0,23,29,0,3,2,0,3,0,0,0,
Tavion Woodard,98322,ED,BALL ST,6,2,1,,0,0,117,,57.8,79.7,62.6,52.6,75.0,0,4,0,,0.0,0,0,0,0.0,0,0,0,0,0,101,101,0,18,61,22,0,0,58,43,0,1,1,0,4,0,0,0,
Casey Kline,98325,ED,BOISE ST,5,1,0,,0,0,120,43.2,49.2,77.0,55.2,59.4,25.6,0,0,0,,50.0,1,0,0,0.0,0,0,4,0,6,28,24,0,0,24,0,0,4,6,16,0,0,0,0,0,0,0,0,
Mykol Clark,98326,ED,LA TECH,10,2,0,100.0,0,0,208,61.7,57.1,84.6,59.9,53.3,73.0,1,5,0,8,10.0,1,0,0,100.0,1,1,10,0,12,201,186,0,4,147,35,0,15,73,116,5,7,7,1,7,0,8,5,8.0
Siaki Ika,98328,DI,LSU,3,0,0,,0,0,211,,73.8,78.2,75.9,64.8,73.0,3,1,0,,25.0,1,0,0,0.0,0,1,0,0,0,75,75,7,68,0,0,0,0,47,28,0,4,3,0,5,0,0,0,
Jared Harrison-Hunte,98331,DI,MIAMI FL,8,9,0,,0,1,220,60.0,66.9,52.4,71.0,61.9,75.9,1,10,0,,4.0,1,0,1,0.0,0,3,0,0,0,264,264,50,204,1,9,0,0,154,110,0,15,15,0,14,0,0,0,
Darius Alexander,98333,DI,TOLEDO,6,1,0,,0,0,316,,47.5,78.4,52.9,46.4,75.8,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,102,102,12,54,2,34,0,0,49,53,0,4,4,0,0,0,0,0,
Jason Blissett Jr.,98339,DI,MIAMI FL,9,2,0,,0,0,220,63.6,72.0,79.0,63.8,68.6,75.9,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,81,81,12,69,0,0,0,0,39,42,0,3,3,0,0,0,0,0,
Isaiah Chaney,98340,ED,WAKE,6,1,0,,0,0,339,61.2,55.8,79.8,56.3,53.3,58.6,0,2,0,,16.7,1,0,0,0.0,0,0,0,0,0,80,80,0,4,66,10,0,0,39,41,0,2,4,0,2,0,0,0,
DeVonne Harris,98341,ED,WYOMING,5,0,0,,0,0,351,55.3,74.0,81.5,67.7,76.9,79.4,3,1,0,,0.0,0,0,0,0.0,0,0,0,0,1,99,98,0,0,94,4,0,1,43,55,0,4,8,0,4,0,0,0,
R.J. Oben,98342,ED,DUKE,9,0,0,,0,0,154,68.2,44.1,4.1,48.6,42.2,26.5,0,1,0,,66.7,2,0,1,0.0,0,0,1,0,1,67,66,0,0,63,3,0,1,22,44,0,1,1,0,1,0,0,0,
Marshawn Kneeland,98344,ED,W MICHIGAN,5,1,1,100.0,0,0,347,73.5,73.8,82.3,68.2,68.2,59.9,0,9,0,1,16.7,3,0,0,79.2,1,4,5,0,3,166,161,2,1,120,38,0,5,91,72,0,12,14,1,13,0,1,3,1.0
Da'Jon Terry,98345,DI,KANSAS,8,5,0,,0,0,198,60.0,66.9,55.8,61.0,69.2,72.6,0,1,0,,5.9,1,0,1,0.0,0,2,0,0,0,261,261,247,14,0,0,0,0,117,144,0,10,11,0,3,0,0,0,
David Reynolds,98347,ED,FIU,1,0,0,,0,0,166,,56.3,74.4,53.5,60.7,,0,1,0,,,0,0,0,0.0,0,0,0,0,0,17,17,0,0,17,0,0,0,9,8,0,0,0,0,1,0,0,0,
