player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Deandre Sims,81660,C,GRAMBLING,2,100.0,0,177,62.0,68.5,60.4,0,1,9,100.0,100.0,94.4,0,1,0,37,37,0,0,37,11,11,0,0,26,0
Jalen Greene,55145,QB,ELON,2,46.3,0,162,67.7,,60.0,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,80,0,36,0,0,37,0
Andre Robinson,35017,HB,DELAWARE,10,33.6,0,151,59.2,67.9,56.0,0,1,25,34.7,36.4,94.0,0,2,1,37,0,0,0,110,28,77,0,0,9,0
Andrew Robinson,64245,G,MERCER,1,100.0,0,219,50.1,27.9,52.5,0,1,25,100.0,100.0,98.0,0,1,0,37,0,0,0,37,25,25,37,0,12,0
Dennis Craig,47370,TE,SOUTHERN U,2,71.2,0,297,38.2,68.5,45.3,0,0,3,18.8,16.7,100.0,0,0,0,37,0,0,0,52,3,18,0,0,34,37
Austin Sanders,26003,T,MERCER,1,100.0,0,219,42.0,27.5,57.6,3,2,25,100.0,100.0,90.0,1,5,0,37,0,0,37,37,25,25,0,0,12,0
Willie Fairman,63091,CB,N COLORADO,4,22.2,0,253,66.0,,68.9,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,167,0,129,0,0,37,0
Malik Lovette,28249,WR,N ARIZONA,2,63.8,0,252,61.4,,74.1,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,58,0,19,0,0,37,0
Lex Sowards,28538,G,INDIANA ST,3,94.9,0,191,57.2,35.0,60.2,0,0,6,75.0,77.8,100.0,0,0,0,37,0,9,0,39,7,9,3,0,30,27
Dre' Sonte Dorton,33394,WR,E WASHGTON,6,64.9,0,161,47.5,,72.8,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,57,0,19,0,0,37,0
Adam Eastwood,57088,FB,MONTANA,3,25.7,0,232,63.1,43.8,59.0,0,2,18,20.5,22.3,94.4,0,2,0,37,0,0,0,144,21,94,0,0,16,0
Matt Rensvold,63704,WR,MONTANA,3,38.1,0,232,59.8,73.1,61.5,0,0,5,8.5,9.1,100.0,0,0,0,37,0,0,0,97,6,66,0,0,31,52
D'Trayveon Williams,75844,G,PRVIEW A&M,1,100.0,0,270,61.2,56.0,60.9,0,1,16,100.0,100.0,96.9,0,1,0,37,0,37,0,37,17,17,0,0,20,0
Justin Malone-Woods,35737,TE,NEW HAMP,2,50.7,0,240,49.6,70.5,53.4,0,1,9,20.9,20.0,94.4,0,1,0,37,0,0,0,73,9,45,0,0,28,50
Tyler Wilkins,47603,WR,RICHMOND,2,34.9,0,276,80.5,,59.5,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,106,0,69,0,0,37,0
Javeon Lara,42202,WR,VA MILT IN,2,30.5,0,336,51.6,,63.0,0,0,0,0.0,0.0,,0,0,0,36,0,0,0,118,0,82,0,0,36,0
James Sheehan,35343,TE,E ILLINOIS,1,49.3,0,158,53.8,70.1,71.3,0,0,1,2.6,5.1,100.0,0,0,0,36,0,0,0,73,2,39,0,0,34,8
Andre Regis,41195,G,FL A&M,1,100.0,0,164,69.1,81.9,67.2,0,0,17,100.0,100.0,100.0,0,0,0,36,0,22,0,36,19,19,14,0,17,0
Jackson Beerman,61233,WR,E KENTUCKY,2,70.6,0,159,72.1,,59.0,0,0,0,0.0,0.0,,0,0,0,36,0,0,0,51,0,15,0,0,36,0
Bailey Zappe,60396,QB,HOU BAPT,2,24.2,0,183,71.1,,60.0,0,0,0,0.0,0.0,,0,0,0,36,0,0,0,149,0,104,0,0,36,0
Joe Fitzpatrick,35006,HB,MAINE,3,30.5,0,212,62.0,87.5,60.2,0,0,25,37.3,39.4,100.0,0,0,0,36,0,0,0,118,28,71,0,0,8,0
John Christian Riffle,91671,G,CORNELL,1,100.0,0,147,57.8,52.9,57.5,1,0,23,100.0,100.0,93.5,0,2,1,36,0,36,0,36,26,26,0,0,10,0
Jacob Conrad,41700,G,FURMAN,1,100.0,0,170,56.1,14.3,58.2,0,1,5,100.0,100.0,90.0,0,1,0,36,0,36,0,36,7,7,0,0,29,0
David Moore,21907,G,GRAMBLING,2,100.0,0,177,56.7,48.2,56.8,0,2,14,100.0,100.0,92.9,0,2,0,36,0,20,0,36,15,15,16,0,21,0
Robert Smoloski,41863,G,MAINE,2,100.0,0,212,72.6,49.5,80.1,1,0,24,100.0,100.0,97.9,0,1,0,36,0,30,0,36,25,25,6,0,11,0
Dreshawn Minnieweather,57227,HB,HOU BAPT,2,31.3,0,183,73.1,67.3,57.4,0,0,21,29.2,28.4,95.2,0,1,1,36,0,0,0,115,21,74,0,0,15,0
Dontay Hargrove,89479,TE,MCNEESE,4,67.9,0,217,40.4,72.4,54.2,0,0,5,23.8,26.1,100.0,2,0,0,36,0,0,0,53,6,23,0,0,30,46
Stefano Guarisco,23777,WR,NICHOLLS,3,40.9,0,243,53.8,,62.3,0,0,0,0.0,0.0,,0,0,0,36,0,0,0,88,0,52,0,0,36,0
Elijah Shah,63695,WR,SVANNAH ST,3,59.0,0,286,48.3,,59.7,0,0,0,0.0,0.0,,0,0,0,36,0,0,0,61,0,24,0,0,36,0
Leroy Hill,37587,TE,NC A&T,2,76.6,0,246,59.8,73.3,67.7,0,0,7,41.2,38.9,100.0,1,0,0,36,0,0,1,47,7,18,0,3,29,36
Byron Glass,39791,C,AUSTINPEAY,1,100.0,0,116,57.3,45.2,58.7,0,0,14,100.0,100.0,100.0,0,0,0,36,36,0,0,36,14,14,0,0,22,0
Thomas Zuewsky,88575,G,LEHIGH,1,100.0,0,205,56.6,80.9,51.3,0,0,21,100.0,100.0,100.0,0,0,0,36,0,0,0,36,22,22,36,0,14,0
De'Shawn Waller,83604,HB,ALCORN ST,3,28.6,0,107,79.3,78.8,64.6,0,1,19,38.0,38.5,97.4,0,1,0,36,0,0,0,126,20,52,0,0,16,0
Brandon Rainey,22374,QB,CITADEL,1,56.5,0,139,51.4,,60.0,0,0,0,0.0,0.0,,1,0,0,35,0,0,0,62,0,3,0,0,35,0
Sam Straub,28785,QB,S ILLINOIS,3,34.0,0,295,43.7,,60.2,0,0,0,0.0,0.0,,1,0,0,35,0,0,0,103,0,64,0,0,35,0
Trae Riek,31497,HB,N COLORADO,4,33.7,0,253,50.0,32.9,57.7,3,3,26,39.4,40.0,88.5,0,6,0,35,0,0,0,104,28,70,0,0,7,0
Kobe Ross,61281,WR,GRAMBLING,2,44.9,0,177,61.9,,56.7,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,78,0,43,0,0,35,0
Datron James,23484,HB,SCAR STATE,3,47.3,0,290,65.3,82.8,52.0,0,0,8,38.1,40.9,100.0,0,0,0,35,0,0,0,74,9,22,0,0,26,0
Myles Beverly,64216,TE,DELWARE ST,2,89.7,0,152,48.1,66.6,50.2,0,0,2,33.3,33.3,100.0,0,0,0,35,0,0,0,39,2,6,0,0,33,39
Jarrett McClenton,47532,WR,VILLANOVA,2,43.8,0,334,80.3,,77.3,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,80,0,43,0,0,35,2
