player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
CJ Ogbonna,149182,QB,SE MO ST,11,63.5,203,223,12.9,2.55,3,17,7.2,49.8,111,0,73,14.0,255,18,68,293,58.3,67.6,69.1,58.7,2,8,269,5,19.2,75.0,5.5,14,18,1,14,12,14,5.2,1522,6.8
RJ Martinez,147690,QB,N ARIZONA,8,72.3,202,222,9.8,2.83,6,18,7.7,61.7,137,0,77,6.2,246,9,74,252,43.6,90.2,88.8,70.8,0,2,258,1,9.1,102.8,2.8,7,16,1,13,14,6,2.3,1708,7.7
Anthony Thompson,40036,QB,INDIANA ST,10,71.7,205,222,8.0,2.82,3,5,2.2,60.8,135,0,82,8.2,251,12,67,191,61.1,55.1,51.4,62.0,2,8,262,0,18.3,74.9,6.0,15,14,3,9,8,17,6.5,1338,6.0
Shannon Patrick,82081,QB,BETH COOK,9,69.1,207,218,10.3,2.32,3,23,10.1,54.6,119,0,64,16.8,230,24,61,119,34.0,82.6,82.5,59.5,2,10,240,3,12.5,68.4,3.5,8,4,0,6,9,12,5.0,1370,6.3
Cole Copeland,63563,QB,CHATTNOOGA,9,68.3,208,217,9.3,2.87,1,1,0.4,58.5,127,0,63,10.6,244,15,82,137,69.6,61.9,57.9,66.7,1,9,254,0,14.3,72.6,3.7,9,18,0,7,6,11,4.3,1555,7.2
Miles Hastings,103943,QB,UC DAVIS,10,69.3,205,216,7.4,2.44,5,4,1.8,59.7,129,0,64,9.2,233,13,63,322,76.7,62.0,62.8,52.2,1,8,239,0,12.5,69.6,3.4,8,7,0,5,7,10,4.2,1158,5.4
Bronson Barron,141710,QB,WEBER ST,8,72.3,202,213,10.1,2.55,3,11,5.0,61.0,130,0,82,11.0,246,16,72,342,58.7,77.0,77.8,60.1,2,5,254,2,26.8,85.7,8.9,22,10,0,6,8,6,2.4,1536,7.2
Austin Day,106411,QB,MARIST,9,75.1,201,213,8.6,3.02,5,14,6.1,64.3,137,0,108,9.3,282,14,89,213,36.0,78.4,74.1,73.0,0,5,303,1,27.8,97.6,10.6,30,39,0,7,13,12,4.0,1602,7.5
Jalani Eason,52172,QB,MS VLY ST,11,71.1,197,211,7.6,2.58,5,10,4.4,60.2,127,0,94,9.3,254,13,62,228,36.2,71.0,71.1,60.7,4,7,268,3,23.4,84.1,8.7,22,21,0,5,10,9,3.4,1512,7.2
Ryan Nettles,102339,QB,ALABAMA ST,7,64.9,194,208,8.7,2.46,6,8,3.7,59.1,123,0,66,2.4,240,3,72,105,29.6,52.7,54.9,48.7,1,7,249,3,25.8,77.9,7.1,17,15,1,6,10,9,3.6,1224,5.9
Wiley Hartley,122297,QB,CAMPBELL,6,70.0,203,207,11.0,2.47,2,13,5.9,60.9,126,0,61,11.3,234,16,73,131,48.1,76.9,77.7,62.7,0,8,250,1,19.7,91.5,5.1,12,13,0,2,14,8,3.2,1603,7.7
Matthew Sluka,143059,QB,HOLY CROSS,13,68.3,199,207,11.3,2.97,5,18,8.3,56.0,116,0,80,14.7,272,20,88,181,51.6,84.7,70.1,85.6,0,5,283,2,25.0,87.1,7.4,20,44,2,1,11,14,4.9,1524,7.4
Glendon McDaniel,78483,QB,SOUTHERN U,10,70.7,198,207,8.1,2.76,2,5,2.3,61.4,127,0,63,9.3,245,13,73,297,48.0,70.7,68.1,67.5,1,3,260,2,20.6,90.9,5.3,13,24,1,5,10,6,2.3,1373,6.6
Jared Lewis,108959,QB,DELWARE ST,10,64.5,183,206,12.9,3.11,3,16,7.6,51.5,106,0,110,10.2,249,12,64,152,70.5,80.4,80.7,62.9,4,4,256,2,19.1,97.0,8.4,21,22,2,14,20,4,1.6,1374,6.7
Joe Mancuso,40312,QB,RICHMOND,8,71.4,199,206,9.1,2.56,2,9,4.2,60.2,124,0,45,12.7,227,18,78,276,53.9,76.6,77.3,62.0,0,6,235,1,13.3,91.6,2.6,6,15,0,5,13,14,6.0,1504,7.3
Jalen Fowler,64170,QB,NC A&T,9,67.7,192,203,11.3,2.91,0,21,9.9,54.7,111,0,71,14.6,235,19,67,246,32.7,78.6,78.5,62.4,4,8,245,1,26.8,79.7,8.1,19,12,0,7,9,12,4.9,1640,8.1
Dante Perri,143112,QB,LEHIGH,8,72.6,186,202,7.9,2.8,1,4,1.9,59.9,121,0,62,10.4,222,14,60,205,48.0,68.9,71.7,49.0,1,5,231,1,24.2,73.0,6.8,15,5,0,14,4,8,3.5,1200,5.9
Otto Kuhns,138014,QB,E ILLINOIS,9,57.6,191,201,11.3,2.83,5,15,7.1,45.8,92,0,92,16.4,231,18,50,158,69.0,61.8,57.6,66.7,1,10,243,1,18.5,52.9,7.4,17,13,0,4,6,11,4.5,1132,5.6
Ah-Shaun Davis,149376,QB,LAFAYETTE,8,70.5,183,200,10.9,2.97,2,11,5.4,58.5,117,0,113,9.3,252,12,67,203,77.0,60.3,60.6,55.3,1,5,257,1,29.2,76.5,13.1,33,19,2,12,4,5,1.9,1414,7.1
