player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jalen Smith,79135,CB,HOWARD,9,1,0,63.6,0,0,184,57.9,58.8,84.2,,60.7,64.0,0,0,0,57,11.5,3,1,1,98.9,14,0,7,400,200,418,0,0,0,0,0,9,418,0,218,2,5,22,22,0,0,231,88,16.5
Marcus Hillman,79136,S,ELON,8,7,0,80.0,0,2,162,73.1,77.7,28.5,71.4,81.0,63.6,1,2,1,26,13.3,4,0,1,79.2,4,2,66,5,90,251,116,0,0,116,0,1,135,57,104,63,16,19,5,5,0,63,45,15.8
Cole Loden,79142,S,KENNESAW,13,6,0,67.6,0,0,200,67.5,71.7,88.3,56.4,79.6,76.4,0,0,1,42,11.5,7,3,0,90.9,25,0,91,1,361,605,1,0,0,1,0,427,604,3,241,85,11,48,37,0,1,309,95,12.4
Tre Jackson,79145,CB,S DAKOTA,9,6,0,67.4,0,1,291,83.4,81.9,83.4,53.0,73.8,69.0,0,1,1,20,11.4,5,4,0,83.2,29,0,48,397,265,462,3,0,0,3,0,2,459,5,192,12,12,33,43,1,2,197,52,6.8
Gregory Young II,79147,CB,STNY BROOK,11,5,0,65.8,0,0,303,63.9,66.1,86.1,59.4,73.9,62.4,0,0,0,40,13.9,5,1,0,132.7,25,0,17,657,370,680,4,0,0,4,0,0,676,2,308,2,0,26,38,0,5,330,87,13.2
Joe Casale,79150,LB,ALBANY,6,4,0,70.0,0,1,106,65.1,64.4,79.2,58.1,62.0,57.3,0,1,0,21,18.2,4,1,0,93.8,7,0,130,0,71,146,6,0,0,6,0,0,140,3,72,9,6,14,10,1,0,80,40,11.4
Michael Campbell,79151,CB,MERCER,7,1,0,64.3,0,0,219,60.6,62.5,82.5,60.0,67.6,62.3,0,0,2,57,15.8,3,1,0,87.9,18,0,42,332,194,375,0,0,0,0,0,0,375,1,180,1,3,15,28,0,2,257,60,14.3
Jason Antwi,79154,S,MONMOUTH,9,2,0,71.4,0,0,231,48.8,53.0,80.5,60.0,64.1,67.9,0,0,0,39,10.0,1,0,0,153.3,5,0,33,1,70,120,4,0,0,4,0,33,116,2,48,47,4,7,7,0,1,89,28,17.8
Jakari Starling,79155,LB,S DAKOTA,6,3,0,75.0,0,1,291,56.6,58.8,81.0,61.3,63.2,49.5,0,1,0,14,28.6,4,0,0,89.1,6,1,29,2,69,120,10,0,0,10,0,2,110,5,46,77,3,7,8,2,0,47,36,7.8
Johnathon Edwards,79161,CB,AUSTINPEAY,11,5,0,36.0,0,0,116,84.4,87.7,85.7,64.5,91.2,87.6,0,1,7,42,2.8,1,8,3,27.5,18,0,64,592,390,708,4,0,0,4,0,28,704,5,313,20,12,30,50,1,2,260,37,14.4
Elijah Harrison,79165,S,CENT CT ST,3,1,0,100.0,0,1,133,54.6,55.1,71.5,,58.1,46.1,0,0,0,3,25.0,1,0,0,118.8,1,0,10,0,10,20,0,0,0,0,0,7,20,0,10,3,0,2,1,0,1,3,0,3.0
Duane Nichols,79166,S,SCAR STATE,9,7,0,70.6,0,0,290,57.7,59.7,85.6,54.9,63.8,68.6,0,0,0,41,14.3,5,0,0,152.0,12,0,145,5,255,445,4,0,0,4,0,169,441,5,185,121,7,23,17,0,3,210,69,17.5
Natani Drati,79167,S,FORDHAM,11,9,0,63.0,0,1,168,61.9,60.6,87.9,,56.4,55.2,0,0,0,31,20.0,12,2,0,94.5,17,0,110,3,306,640,6,0,0,6,0,359,634,0,334,162,6,39,27,0,0,259,70,15.2
Miles Simon,79175,CB,NC A&T,9,8,0,52.3,1,0,246,74.5,74.8,41.8,,72.8,85.3,0,0,0,55,5.8,3,5,3,97.3,23,0,36,507,331,587,0,0,0,0,0,37,587,0,256,6,8,41,44,0,2,385,81,16.7
Jhadir Charles,79176,S,MONMOUTH,8,2,0,100.0,0,0,231,67.5,63.3,79.6,60.0,46.5,51.5,0,0,0,48,22.2,2,0,0,158.3,4,0,7,5,58,86,0,0,0,0,0,50,86,1,27,24,1,5,4,0,1,79,23,19.8
Christian Benford,79181,CB,VILLANOVA,13,3,0,38.6,0,0,334,92.2,91.9,51.4,56.1,79.4,90.3,0,0,7,52,2.4,1,15,4,25.2,27,0,28,672,383,727,14,0,0,14,0,2,713,3,341,10,9,38,70,0,2,353,93,13.1
