player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kavika Johnson,46384,QB,UTEP,5,60.0,20,22,5.9,3.08,1,0,0.0,54.5,12,0,13,0.0,28,0,3,330,53.5,52.4,48.2,55.1,0,1,29,1,38.5,68.8,17.9,5,1,0,1,1,1,3.4,132,6.0
Jason Pellerin,36053,QB,OLE MISS,6,60.0,20,22,13.4,2.86,1,3,13.6,50.0,11,0,6,8.3,25,1,8,226,78.0,66.7,62.0,64.6,0,3,25,0,16.7,54.2,4.0,1,2,0,1,2,2,8.0,104,4.7
Austin Kendall,40056,QB,OKLAHOMA,2,77.3,22,22,9.8,2.62,0,1,4.5,72.7,16,0,6,5.9,25,1,11,261,27.9,67.0,63.7,65.2,0,0,25,0,50.0,120.1,12.0,3,0,0,0,2,2,8.0,143,6.5
Johnathan Brantley,40093,QB,TULANE,5,57.9,19,22,11.9,3.11,2,0,0.0,36.4,8,0,10,27.3,27,3,1,319,59.6,47.8,30.1,59.2,0,0,28,0,40.0,44.9,14.8,4,1,0,1,0,3,10.7,51,2.3
Brenden Motley,44983,QB,VA TECH,5,66.7,15,20,9.1,2.56,0,1,4.5,45.0,9,0,8,10.0,21,1,4,337,77.6,69.2,54.4,71.7,0,0,23,0,0.0,73.1,0.0,0,1,0,5,1,0,0.0,81,4.1
Damion Hobbs,46427,QB,UTAH ST,4,73.3,15,19,14.7,4.01,0,0,0.0,42.1,8,0,13,27.3,23,3,4,329,46.8,54.1,60.6,53.4,2,1,24,0,7.7,30.2,4.3,1,3,0,2,0,1,4.2,68,3.6
Darius Wade,28055,QB,BOSTON COL,7,75.0,16,19,8.0,2.97,0,1,5.0,47.4,9,0,9,25.0,23,3,7,121,69.3,46.8,44.1,56.3,1,1,24,0,22.2,41.6,8.7,2,2,0,2,0,1,4.2,100,5.3
Blake Barnett,46627,QB,ALABAMA,3,68.4,19,19,11.4,2.91,0,2,10.0,57.9,11,0,9,15.4,24,2,6,103,69.5,70.2,74.7,52.8,0,0,26,0,44.4,133.4,16.7,4,1,0,0,2,0,0.0,219,11.5
Kendall Hinton,34045,QB,WAKE,3,57.9,19,19,13.3,2.76,0,2,10.5,57.9,11,0,7,0.0,24,0,5,339,76.9,69.9,72.1,62.1,0,1,24,0,28.6,66.6,8.3,2,2,0,0,0,0,0.0,174,9.2
J.T. Granato,60463,,RICE,3,47.4,19,19,11.4,2.77,0,0,0.0,42.1,8,0,4,11.1,21,1,6,275,71.2,39.2,35.3,60.7,0,2,25,0,25.0,18.6,4.8,1,1,0,0,0,3,12.0,96,5.1
Quinten Dormady,35426,QB,TENNESSEE,2,70.6,17,17,9.5,2.57,0,1,5.3,64.7,11,0,8,8.3,18,1,6,307,67.1,68.1,69.3,57.3,0,0,20,0,0.0,92.3,0.0,0,1,0,0,0,0,0.0,148,8.7
Matt Davis,46456,QB,SMU,1,53.3,15,17,17.8,3.43,0,1,5.6,47.1,8,0,10,0.0,27,0,12,287,71.1,74.4,61.3,74.9,0,1,29,0,10.0,94.0,3.7,1,8,0,2,2,1,3.4,155,9.1
Nick Jeanty,26496,QB,NEW MEX ST,4,73.3,15,16,9.1,2.42,0,1,6.3,62.5,10,0,6,9.1,19,1,5,242,25.1,58.3,68.2,44.7,0,0,19,0,16.7,121.4,5.3,1,2,0,1,2,0,0.0,106,6.6
Conor Rhoda,26179,QB,MINNESOTA,2,64.3,14,16,8.6,2.8,1,0,0.0,50.0,8,0,7,11.1,18,1,5,225,17.1,30.7,43.6,30.7,0,0,20,0,14.3,87.5,5.6,1,1,0,1,1,1,5.0,88,5.5
Justin Agner,41605,QB,KENT STATE,1,60.0,15,16,6.6,2.78,1,0,0.0,56.3,9,0,16,0.0,26,0,5,201,69.5,36.4,40.4,50.7,0,2,26,1,25.0,25.3,15.4,4,6,0,0,0,3,11.5,61,3.8
Zander Diamont,28542,QB,INDIANA,7,62.5,16,16,9.9,2.42,0,1,5.9,62.5,10,0,6,0.0,17,0,7,190,33.5,51.3,49.3,56.7,0,1,18,1,16.7,99.5,5.9,1,0,0,0,1,2,11.1,194,12.1
Garrett Anderson,26080,QB,UCONN,4,64.3,14,16,6.3,2.94,1,0,0.0,50.0,8,0,5,11.1,20,1,5,146,67.9,58.9,57.9,60.8,0,0,21,0,60.0,61.7,15.0,3,1,0,1,0,0,0.0,69,4.3
Cooper Bateman,46596,QB,ALABAMA,5,85.7,14,14,0.7,2.23,0,0,0.0,85.7,12,0,0,0.0,14,0,7,103,68.7,63.6,68.4,52.3,0,0,14,0,,125.9,0.0,0,0,0,0,1,0,0.0,119,8.5
Jalen Nixon,45916,HB,LA LAFAYET,1,66.7,12,14,5.3,1.6,0,0,0.0,57.1,8,0,0,0.0,14,0,4,207,75.3,73.0,73.8,65.3,0,0,16,0,,74.7,0.0,0,0,1,1,0,0,0.0,84,6.0
Wade Freebeck,46432,QB,VANDERBILT,3,46.2,13,13,9.7,2.89,0,1,7.1,46.2,6,0,6,0.0,15,0,3,333,67.1,52.0,55.8,52.4,0,1,16,0,0.0,33.2,0.0,0,2,0,0,0,2,12.5,77,5.9
K.J. Carta-Samuels,46525,QB,WASHINGTON,4,69.2,13,13,8.0,2.35,0,1,7.1,69.2,9,0,5,0.0,14,0,6,340,69.4,71.2,74.4,54.8,0,0,15,0,20.0,132.7,7.1,1,0,0,0,3,0,0.0,104,8.0
Drew Eckels,27245,QB,W KENTUCKY,6,72.7,11,12,13.5,2.85,0,2,16.7,50.0,6,0,5,25.0,15,2,3,346,70.0,83.4,87.7,58.1,0,0,15,0,40.0,124.3,13.3,2,0,0,1,2,0,0.0,118,9.8
Marvin Zanders,27438,QB,MISSOURI,5,90.9,11,12,4.3,2.51,0,0,0.0,83.3,10,0,3,0.0,15,0,3,229,51.7,74.6,69.8,69.5,0,0,15,0,33.3,134.0,6.7,1,2,0,1,1,0,0.0,114,9.5
Sean Maguire,22742,QB,FLORIDA ST,3,58.3,12,12,13.3,2.52,0,1,8.3,58.3,7,0,5,0.0,13,0,4,167,66.0,56.1,58.5,,0,1,13,1,20.0,77.8,7.7,1,0,0,0,2,2,15.4,64,5.3
Connor Brewer,21714,QB,VIRGINIA,1,25.0,12,12,13.4,1.91,0,0,0.0,16.7,2,0,3,33.3,15,1,1,335,22.8,28.3,33.9,42.6,0,0,16,0,66.7,39.6,13.3,2,0,0,0,0,1,6.3,6,0.5
Zach Allen,38296,QB,RUTGERS,2,20.0,5,12,14.4,3.29,1,0,0.0,8.3,1,0,14,0.0,18,0,0,278,28.2,29.6,36.7,41.9,2,0,18,1,21.4,39.6,16.7,3,3,0,4,0,1,5.6,-1,-0.1
Greyson Lambert,46545,QB,GEORGIA,3,80.0,10,12,6.2,3.08,1,0,0.0,58.3,7,0,7,12.5,15,1,4,173,71.6,69.7,67.9,62.5,0,0,16,0,42.9,70.1,20.0,3,0,0,1,0,1,6.3,56,4.7
Ryan Rubley,26703,QB,TULSA,2,63.6,11,11,7.7,2.21,0,0,0.0,63.6,7,0,4,0.0,15,0,6,320,68.8,62.0,59.6,61.3,0,0,15,0,50.0,120.3,13.3,2,2,0,0,1,0,0.0,92,8.4
